problem_mean,amb_pre_mean,CT_pre_mean,PS_pre_mean,answer_score.y,problem_post_mean,amb_post_mean,CT_post_mean,PS_post_mean,group,per_time,item,per_time_scale,item_sclae,per_score,rest,time_train,time_explain,correct_number,number_explain,self_efficacy,difficulty
3.85714285714286,4.42857142857143,.75,1,1,4.57142857142857,4.71428571428571,1,1,High,1097.445,8,.43000234999341,1,1.43000234999341,10.943,2992.753,79.547,4,2,9,7
3.85714285714286,1.14285714285714,1,.5,1,4.28571428571429,2.71428571428571,1,1,High,708.943,8,.275783238513216,1,1.27578323851322,2.019,2316.203,37.624,2,2,6,9
4.14285714285714,3.42857142857143,.25,0,0,2.85714285714286,3.28571428571429,.5,0,High,86.07,8,.0285286024366891,1,1.02852860243669,3.373,173.289,0,0,0,0,0
4.14285714285714,3.85714285714286,.5,0,0,4,3.71428571428571,.5,0,High,539.799,3,.20864011597535,.285714285714286,.494354401689636,5.694,928.736,22.679,0,1,0,0
4,2.14285714285714,.75,1,1,3.85714285714286,3,1,.5,High,26.836,1,.00501517174799814,0,.00501517174799814,2.223,769.625,54.681,0,4,0,2
3.85714285714286,3.71428571428571,.5,0,1,3.28571428571429,3.28571428571429,.5,.5,High,442.95,8,.170195097088072,1,1.17019509708807,1.843,850.236,46.417,1,2,4,8
4.42857142857143,4,.5,.5,0,3.71428571428571,3.85714285714286,.75,0,High,709.964,8,.276188532984857,1,1.27618853298486,3.757,2407.011,47.644,1,2,4,8
3.71428571428571,3.71428571428571,.5,1,1,3.85714285714286,3.28571428571429,.75,1,High,538.711,8,.208208225294503,1,1.2082082252945,1.763,985.684,69.674,1,3,4,7
4.42857142857143,3.57142857142857,.5,1,1,3.42857142857143,3.28571428571429,.5,.5,High,231.938,8,.0864321225045214,1,1.08643212250452,2.834,490.562,15.8,0,2,0,10
4,2.14285714285714,1,0,0,4.42857142857143,2.57142857142857,1,0,High,915.559,8,.357801184206139,1,1.35780118420614,3.263,682.153,14.059,2,1,6,4
3.28571428571429,2.57142857142857,.5,0,0,3.14285714285714,3,.75,0,High,373.525,8,.142636263891557,1,1.14263626389156,2.871,872.385,82.157,2,3,4,8
4,3.85714285714286,.75,1,1,4.28571428571429,4.42857142857143,.75,.5,High,336.757,8,.128040899412343,1,1.12804089941234,2.125,474.759,0,0,0,0,5
5,2.71428571428571,.25,0,0,3.85714285714286,3.28571428571429,.5,0,High,151.357,8,.0544448219959383,1,1.05444482199594,2.526,451.295,16.613,0,2,0,10
4,3.14285714285714,1,0,1,3.71428571428571,3,.75,1,High,610.068,8,.236533982016199,1,1.2365339820162,1.864,1319.444,86.98,3,2,8,7
3.57142857142857,3.71428571428571,.75,0,1,3.14285714285714,2.71428571428571,1,1,High,308.373,8,.116773633709068,1,1.11677363370907,4.084,1055.346,82.479,0,4,0,2
4.57142857142857,3.28571428571429,.75,0,0,4.14285714285714,3.57142857142857,.5,0,High,318.105,8,.120636832335909,1,1.12063683233591,2.251,498.44,21.282,0,4,0,10
4.14285714285714,3,.25,0,0,4.14285714285714,3.14285714285714,.5,0,High,29.122,1,.00592261852779264,0,.00592261852779264,2.806,574.613,6.189,0,1,0,0
3.85714285714286,3.28571428571429,.5,.5,0,3,2.85714285714286,.5,0,High,164.112,8,.0595080257038468,1,1.05950802570385,3.858,766.123,4.513,0,1,0,10
4,4.28571428571429,1,.5,0,3.14285714285714,3.57142857142857,1,0,High,409.601,8,.156956933195086,1,1.15695693319509,3.087,1262.991,113.414,0,4,0,8
3.71428571428571,2.71428571428571,0,0,0,3.28571428571429,2.85714285714286,.75,0,High,616.103,8,.238929625636523,1,1.23892962563652,2.217,1028.642,84.713,1,3,2,9
3.71428571428571,2.57142857142857,.25,0,0,3.14285714285714,2.42857142857143,.75,0,High,241.856,8,.0903691553837873,1,1.09036915538379,1.919,791.586,36.652,0,4,5,1
4.14285714285714,4,1,1,1,4.71428571428571,4,1,.5,High,664.572,3,.258169799726575,.285714285714286,.543884085440861,4.515,6678.326,37.918,1,4,2,8
4,2.42857142857143,.5,1,1,4.71428571428571,4.42857142857143,.75,1,High,547.728,8,.211787598703693,1,1.21178759870369,3.11,1042.42,85.471,1,4,4,8
4.14285714285714,1.71428571428571,.75,.5,1,4.42857142857143,3,.75,1,High,291.687,8,.110149986741591,1,1.11014998674159,2.814,967.215,0,2,0,3,8
4.42857142857143,3,.25,1,0,3.85714285714286,3.42857142857143,.25,0,Low,339.611,8,.129173818532874,1,1.12917381853287,1.929,953.926,121.121,0,4,1,1
4.42857142857143,3,.25,1,0,3.85714285714286,3.42857142857143,.25,0,Low,339.611,8,.129173818532874,1,1.12917381853287,2.771,41.272,10.109,1,4,0,10
3.85714285714286,3.85714285714286,1,1,1,4,3.85714285714286,1,1,High,124.227,1,.0436753420590071,0,.0436753420590071,2.984,1671.624,67.67,3,1,5,8
3.42857142857143,4.14285714285714,.5,0,0,3.28571428571429,4,.5,0,High,582.496,8,.225589046490174,1,1.22558904649017,3.166,1148.025,23.528,0,2,0,2
